Satellite,époque,X,Y,Z
G15,2021-12-14 13:20:00,15393972.838758554,-6177134.101361757,20396871.899139877
G15,2021-12-14 13:36:40,17225613.49243681,-4339900.010402247,19434152.391442694
G15,2021-12-14 13:53:20,19037015.344759546,-2693922.9304244034,18053232.60582159
G15,2021-12-14 14:10:00,20770326.749168895,-1258316.9890348427,16283426.861438084
G15,2021-12-14 14:26:40,22367006.34413339,-40367.68464315869,14162308.43318589
G15,2021-12-14 14:43:20,23770486.23515682,964490.9729550248,11734913.783659743
G15,2021-12-14 15:00:00,24928765.85467002,1772126.683669406,9052787.784043271
G15,2021-12-14 15:16:40,25796813.22787831,2408614.163290889,6172889.901896622
G15,2021-12-14 15:33:20,26338659.30634358,2908649.308078893,3156384.450577219
G15,2021-12-14 15:50:00,26529085.477134462,3313549.521309606,67340.63920007
G15,2021-12-14 16:06:40,26354823.6377425,3668937.3649314437,-3028629.757480375
G15,2021-12-14 16:23:20,25815211.4207367,4022219.9087729957,-6065767.846387481
G15,2021-12-14 16:40:00,24922271.130181447,4419985.955680227,-8979566.160421396
G15,2021-12-14 16:56:40,23700208.44458253,4905447.239534604,-11708140.230180793
G15,2021-12-14 17:13:20,22184354.60477027,5516047.535633102,-14193543.766607776
G15,2021-12-14 17:30:00,20419602.293290075,6281355.504348822,-16382999.362886356
G15,2021-12-14 17:46:40,18458409.445462443,7221343.418707521,-18230018.569107585
G15,2021-12-14 18:03:20,16358465.663414594,8345135.382935464,-19695387.69172949
G15,2021-12-14 18:20:00,14180131.770956095,9650286.140931785,-20747998.644438922
G15,2021-12-14 18:36:40,11983773.61571434,11122626.191179737,-21365507.54516961
G15,2021-12-14 18:53:20,9827116.020641075,12736681.883666141,-21534807.432256497
G15,2021-12-14 19:10:00,7762741.610331334,14456651.757205766,-21252305.379759938
G15,2021-12-14 19:26:40,5835852.1679734895,16237893.8711782,-20523998.35100826
G15,2021-12-14 19:43:20,4082397.566093915,18028854.53226704,-19365346.26880599
G15,2021-12-14 20:00:00,2527659.7597207986,19773347.748299047,-17800944.933987033
G15,2021-12-14 20:16:40,1185357.6579253115,21413077.939721137,-15864005.528142797
G15,2021-12-14 20:33:20,57313.908800894395,22890286.69363735,-13595651.429832637
G15,2021-12-14 20:50:00,-866302.1031443598,24150398.21795493,-11044046.893304234
G15,2021-12-14 21:06:40,-1606168.1916592456,25144537.95374949,-8263375.717392494
G15,2021-12-14 21:23:20,-2192480.2410303145,25831804.57209213,-5312691.296401426
G15,2021-12-14 21:40:00,-2663165.0249302187,26181187.078878205,-2254662.314674514
G15,2021-12-14 21:56:40,-3061721.9244515933,26173035.464082167,845759.2615699695
G15,2021-12-14 22:13:20,-3434798.3121754928,25800014.487131953,3922719.410675645
G15,2021-12-14 22:30:00,-3829616.1732972534,25067494.784704633,6910862.820631688
G15,2021-12-14 22:46:40,-4291374.687879974,23993362.333175916,9746723.011424972
G15,2021-12-14 23:03:20,-4860754.638098122,22607255.08140746,12370071.857009673
G15,2021-12-14 23:20:00,-5571645.571796617,20949262.921538346,14725199.498383816
G15,2021-12-14 23:36:40,-6449205.897914327,19068152.73866245,16762097.279261094
G8,2021-12-14 00:00:00,9209623.82216735,-15185882.647694215,19626950.547018666
G8,2021-12-14 00:16:40,10227786.671211123,-12821578.987751113,20806874.513077438
G8,2021-12-14 00:33:20,11432898.41631543,-10411411.705056274,21544749.462390535
G8,2021-12-14 00:50:00,12807970.736494957,-8020032.381686573,21824913.550889954
G8,2021-12-14 01:06:40,14324112.201932264,-5708456.686755806,21641420.498317055
G8,2021-12-14 01:23:20,15941710.136620209,-3531438.649608843,20998165.277945366
G8,2021-12-14 01:40:00,17612144.55886417,-1535156.3671703432,19908801.798462857
G8,2021-12-14 01:56:40,19279953.63738017,244682.37638389878,18396454.23791308
G8,2021-12-14 02:13:20,20885348.50251027,1784226.055194378,16493227.90630921
G8,2021-12-14 02:30:00,22366958.450165335,3072292.5279869456,14239529.656210905
G8,2021-12-14 02:46:40,23664676.3762372,4110572.1682008887,11683211.860538619
G8,2021-12-14 03:03:20,24722469.23672773,4913212.835373747,8878557.75519832
G8,2021-12-14 03:20:00,25491019.716887053,5505807.984172753,5885129.412689111
G8,2021-12-14 03:36:40,25930073.0813401,5923837.711333394,2766502.6786795687
G8,2021-12-14 03:53:20,26010377.026488163,6210638.718131031,-411084.0258178641
G8,2021-12-14 04:10:00,25715121.62528815,6415001.74314679,-3580138.143373671
G8,2021-12-14 04:26:40,25040810.22694319,6588512.88843386,-6673348.426516867
G8,2021-12-14 04:43:20,23997519.302569862,6782767.539143472,-9625016.51771514
G8,2021-12-14 05:00:00,22608534.391419232,7046591.655089385,-12372453.874012806
G8,2021-12-14 05:16:40,20909379.07530819,7423404.794995041,-14857314.055082161
G8,2021-12-14 05:33:20,18946282.83780441,7948852.348164772,-17026831.894600734
G8,2021-12-14 05:50:00,16774160.34452194,8648821.444142139,-18834943.215547815
G8,2021-12-14 06:06:40,14454197.828714697,9537936.538874708,-20243261.456349686
G8,2021-12-14 06:23:20,12051160.78533623,10618607.648096979,-21221890.759160988
G8,2021-12-14 06:40:00,9630550.207321318,11880677.73752388,-21750058.639509927
G8,2021-12-14 06:56:40,7255741.553847496,13301687.157850439,-21816555.213671375
G8,2021-12-14 07:13:20,4985241.229066102,14847743.589550417,-21419970.01782243
G8,2021-12-14 07:30:00,2870189.5769281266,16474957.119308975,-20568721.632151667
G8,2021-12-14 07:46:40,952227.5589440111,18131373.149090767,-19280879.555144627
G8,2021-12-14 08:03:20,-738173.0566637851,19759312.08825901,-17583781.998795383
G8,2021-12-14 08:20:00,-2182838.194626432,21298005.30218465,-15513457.440045387
G8,2021-12-14 08:36:40,-3376426.5625167545,22686402.502086096,-13113861.812366856
G8,2021-12-14 08:53:20,-4326347.420053752,23866017.347681228,-10435947.09300262
G8,2021-12-14 09:10:00,-5052066.48363235,24783675.92355892,-7536580.664508451
G8,2021-12-14 09:26:40,-5583834.59043742,25394037.082619388,-4477338.120734643
G8,2021-12-14 09:43:20,-5960901.330291824,25661764.2632279,-1323195.0546228052
