époque,X,Y,Z,delta_horloge_user,delta_pseudorange,,
21:12:14:1:9:0.0000000,4318554.503,554700.8049,4661267.715,-3270.069453,112203.3785,,-1.09002E-06
21:12:14:1:9:30.0000000,4318731.532,554772.1678,4661462.158,-3058.95582,111702.1903,,-1.01965E-06
21:12:14:1:10:0.0000000,4318906.988,554845.4323,4661653.107,-2850.729847,111199.8881,,-9.50243E-07
21:12:14:1:10:30.0000000,4319080.914,554918.3959,4661844.327,-2642.9897,110693.4369,,-8.80997E-07
21:12:14:1:11:0.0000000,4319254.69,554991.9357,4662034.285,-2435.902085,110184.1819,,-8.11967E-07
21:12:14:1:11:30.0000000,4319428.183,555066.4303,4662225.471,-2228.217281,109672.9659,,-7.42739E-07
21:12:14:1:12:0.0000000,4319598.618,555140.5309,4662413.711,-2023.730461,109157.9728,,-6.74577E-07
21:12:14:1:12:30.0000000,4319768.865,555215.9315,4662601.321,-1819.805708,108641.6372,,-6.06602E-07
21:12:14:1:13:0.0000000,4319937.223,555290.5761,4662788.312,-1616.861433,108121.3057,,-5.38954E-07
21:12:14:1:13:30.0000000,4320105.038,555367.2886,4662974.805,-1414.445634,107600.2628,,-4.71482E-07
21:12:14:1:14:0.0000000,4316926.816,552202.5368,4649491.42,-10524.83321,110421.9925,,-3.50828E-06
21:12:14:1:14:30.0000000,4317064.635,552226.3403,4649551.692,-10417.90985,109968.29,,-3.47264E-06
21:12:14:1:15:0.0000000,4317200.288,552249.2006,4649612.174,-10312.34238,109511.3007,,-3.43745E-06
21:12:14:1:15:30.0000000,4317335.253,552272.2318,4649672.186,-10207.33775,109051.61,,-3.40245E-06
21:12:14:1:16:0.0000000,4320909.006,555750.3229,4663879.392,-433.6621999,104953.2079,,-1.44554E-07
21:12:14:1:16:30.0000000,4317602.269,552319.2013,4649795.356,-9997.726832,108129.9748,,-3.33258E-06
21:12:14:1:17:0.0000000,4321214.997,555905.9914,4664229.677,-54.44112661,103879.8431,,-1.8147E-08
21:12:14:1:17:30.0000000,4317864.464,552365.0814,4649918.705,-9791.075076,107201.5038,,-3.26369E-06
21:12:14:1:18:0.0000000,4317993.541,552388.3103,4649981.276,-9688.466209,106735.3362,,-3.22949E-06
21:12:14:1:18:30.0000000,4318120.565,552411.3363,4650042.638,-9587.723223,106267.5154,,-3.19591E-06
21:12:14:1:19:0.0000000,4318246.528,552434.2248,4650104.794,-9487.203645,105799.0287,,-3.1624E-06
21:12:14:1:19:30.0000000,4318370.072,552456.7355,4650167.032,-9388.011397,105327.919,,-3.12934E-06
21:12:14:1:20:0.0000000,4318492.249,552479.6524,4650229.125,-9289.544933,104856.6164,,-3.09651E-06
21:12:14:1:20:30.0000000,4318612.359,552501.8976,4650290.233,-9192.942209,104383.5883,,-3.06431E-06
21:12:14:1:21:0.0000000,4318729.979,552524.0632,4650352.108,-9097.05643,103909.7386,,-3.03235E-06
21:12:14:1:21:30.0000000,4318846.558,552546.8457,4650414.374,-9001.706274,103433.9938,,-3.00057E-06
21:12:14:1:22:0.0000000,4322562.394,556688.5407,4665827.032,1679.885203,98400.44771,,5.59962E-07
21:12:14:1:22:30.0000000,4319072.336,552590.0397,4650535.881,-8816.223021,102480.352,,-2.93874E-06
21:12:14:1:23:0.0000000,4319181.497,552611.3329,4650596.999,-8725.387634,102001.4394,,-2.90846E-06
21:12:14:1:23:30.0000000,4319290.099,552633.278,4650657.463,-8635.024283,101523.0978,,-2.87834E-06
21:12:14:1:24:0.0000000,4319393.058,552653.9373,4650715.297,-8548.959575,101043.1167,,-2.84965E-06
21:12:14:1:24:30.0000000,4319496.685,552674.9755,4650774.841,-8461.571811,100562.8081,,-2.82052E-06
21:12:14:1:25:0.0000000,4319596.305,552695.5032,4650833.594,-8376.765135,100080.7864,,-2.79226E-06
21:12:14:1:25:30.0000000,4319693.848,552715.9997,4650890.92,-8293.675623,99598.09214,,-2.76456E-06
21:12:14:1:26:0.0000000,4319787.325,552736.0593,4650947.615,-8212.928615,99115.38987,,-2.73764E-06
21:12:14:1:26:30.0000000,4319879.784,552755.3815,4651003.612,-8133.044644,98631.80747,,-2.71101E-06
21:12:14:1:27:0.0000000,4319968.76,552775.209,4651058.682,-8055.393794,98147.65667,,-2.68513E-06
21:12:14:1:27:30.0000000,4320054.69,552793.7148,4651111.705,-7980.334769,97664.20152,,-2.66011E-06
21:12:14:1:28:0.0000000,4320137.677,552812.7545,4651164.949,-7906.401857,97178.54125,,-2.63547E-06
21:12:14:1:28:30.0000000,4320218.359,552831.0496,4651217.143,-7834.271433,96694.02006,,-2.61142E-06
21:12:14:1:29:0.0000000,4320295.468,552848.7905,4651268.127,-7764.288285,96207.77131,,-2.5881E-06
21:12:14:1:29:30.0000000,4320369.561,552866.3687,4651316.884,-7697.057803,95722.50374,,-2.56569E-06
21:12:14:1:30:0.0000000,4320440.703,552883.9892,4651365.515,-7631.290539,95236.31065,,-2.54376E-06
21:12:14:1:30:30.0000000,4320508.556,552900.4598,4651412.442,-7567.753255,94750.70767,,-2.52258E-06
21:12:14:1:31:0.0000000,4320573.948,552916.8761,4651457.336,-7506.65695,94264.77133,,-2.50222E-06
21:12:14:1:31:30.0000000,4320635.796,552933.2428,4651501.653,-7447.342234,93778.942,,-2.48245E-06
21:12:14:1:32:0.0000000,4320694.49,552948.4446,4651543.711,-7390.687808,93293.0214,,-2.46356E-06
21:12:14:1:32:30.0000000,4320748.832,552963.3045,4651584.597,-7336.641114,92806.5433,,-2.44555E-06
21:12:14:1:33:0.0000000,4320801.004,552977.7167,4651624.206,-7284.16427,92321.68323,,-2.42805E-06
21:12:14:1:33:30.0000000,4320849.007,552991.5956,4651661.288,-7235.044819,91835.60237,,-2.41168E-06
21:12:14:1:34:0.0000000,4320894.349,553005.3965,4651696.438,-7188.000682,91351.18586,,-2.396E-06
21:12:14:1:34:30.0000000,4320937.059,553018.4894,4651731.026,-7142.386502,90865.76735,,-2.3808E-06
21:12:14:1:35:0.0000000,4320975.204,553030.8351,4651762.721,-7100.495734,90381.75254,,-2.36683E-06
21:12:14:1:35:30.0000000,4321009.552,553042.6009,4651793.237,-7060.753328,89897.95133,,-2.35358E-06
21:12:14:1:36:0.0000000,4321041.619,553054.0924,4651821.581,-7023.29107,89415.16116,,-2.3411E-06
21:12:14:1:36:30.0000000,4321070.196,553064.6687,4651847.206,-6988.601358,88932.61778,,-2.32953E-06
21:12:14:1:37:0.0000000,4321094.363,553074.9044,4651871.51,-6956.598043,88450.58301,,-2.31887E-06
21:12:14:1:37:30.0000000,4321115.953,553084.453,4651893.474,-6927.030481,87970.27601,,-2.30901E-06
21:12:14:1:38:0.0000000,4321133.619,553092.9819,4651913.23,-6900.265023,87489.17141,,-2.30009E-06
21:12:14:1:38:30.0000000,4321147.913,553101.545,4651930.589,-6876.248553,87009.9634,,-2.29208E-06
21:12:14:1:39:0.0000000,4321159.238,553109.5776,4651945.983,-6854.37548,86531.54295,,-2.28479E-06
21:12:14:1:39:30.0000000,4321166.476,553116.5143,4651958.969,-6835.604681,86054.09711,,-2.27853E-06
21:12:14:1:40:0.0000000,4321170.148,553122.9637,4651969.62,-6819.541677,85578.12054,,-2.27318E-06
21:12:14:1:40:30.0000000,4340723.002,559990.5069,4656716.66,6343.2946,88423.64733,,2.11443E-06
21:12:14:1:41:0.0000000,4340647.504,560044.4521,4656702.302,6323.147038,87982.05682,,2.10772E-06
21:12:14:1:41:30.0000000,4340569.521,560098.447,4656685.103,6301.221793,87542.67814,,2.10041E-06
21:12:14:1:42:0.0000000,4340488.479,560152.2001,4656664.24,6276.363775,87104.59615,,2.09212E-06
21:12:14:1:42:30.0000000,4340404.376,560205.3809,4656640.049,6248.667731,86668.95003,,2.08289E-06
21:12:14:1:43:0.0000000,4340318.138,560258.7619,4656613.385,6219.407605,86235.94924,,2.07314E-06
21:12:14:1:43:30.0000000,4340228.81,560311.9968,4656582.634,6187.137947,85805.0064,,2.06238E-06
21:12:14:1:44:0.0000000,4340135.655,560364.4465,4656549.225,6152.083412,85376.30066,,2.05069E-06
21:12:14:1:44:30.0000000,4340039.689,560416.8046,4656511.867,6114.010491,84948.9441,,2.038E-06
21:12:14:1:45:0.0000000,4339941.526,560469.181,4656470.7,6073.748562,84525.14824,,2.02458E-06
21:12:14:1:45:30.0000000,4339839.152,560521.0101,4656426.883,6030.54464,84103.56804,,2.01018E-06
21:12:14:1:46:0.0000000,4339735.795,560572.5271,4656379.994,5985.896563,83684.50765,,1.9953E-06
21:12:14:1:46:30.0000000,4339629.041,560623.9057,4656328.588,5937.58024,83267.1866,,1.97919E-06
21:12:14:1:47:0.0000000,4339517.477,560674.3728,4656274.489,5886.315652,82852.23142,,1.96211E-06
21:12:14:1:47:30.0000000,4339404.468,560724.6251,4656217.229,5833.161838,82440.82039,,1.94439E-06
21:12:14:1:48:0.0000000,4339289.248,560774.9699,4656156.245,5777.570583,82031.81628,,1.92586E-06
21:12:14:1:48:30.0000000,4339170.461,560824.4624,4656091.924,5719.039145,81625.30142,,1.90635E-06
21:12:14:1:49:0.0000000,4339048.702,560873.2715,4656024.646,5657.951656,81221.62455,,1.88598E-06
21:12:14:1:49:30.0000000,4338924.093,560922.0284,4655953.6,5594.159982,80821.13503,,1.86472E-06
21:12:14:1:50:0.0000000,4338798.294,560970.3155,4655879.312,5528.641846,80423.66911,,1.84288E-06
21:12:14:1:50:30.0000000,4338667.745,561017.966,4655801.455,5459.276774,80028.55162,,1.81976E-06
21:12:14:1:51:0.0000000,4338535.555,561065.1059,4655720.681,5388.04406,79636.81909,,1.79601E-06
21:12:14:1:51:30.0000000,4338400.362,561111.3763,4655636.554,5314.463451,79247.32634,,1.77149E-06
21:12:14:1:52:0.0000000,4338263.294,561157.8482,4655549.153,5238.616915,78862.06433,,1.74621E-06
21:12:14:1:52:30.0000000,4338122.59,561203.2505,4655458.853,5159.896028,78478.27793,,1.71997E-06
21:12:14:1:53:0.0000000,4337979.772,561248.2258,4655365.236,5078.967509,78098.91153,,1.69299E-06
21:12:14:1:53:30.0000000,4337833.969,561291.9159,4655268.567,4995.398103,77721.54402,,1.66513E-06
21:12:14:1:54:0.0000000,4337687.017,561335.909,4655168.068,4909.626823,77348.15403,,1.63654E-06
21:12:14:1:54:30.0000000,4337537.428,561378.8339,4655064.744,4821.611723,76977.81605,,1.6072E-06
21:12:14:1:55:0.0000000,4337385.634,561421.2125,4654960.677,4732.548622,76610.51424,,1.57752E-06
21:12:14:1:55:30.0000000,4337231.328,561463.0893,4654851.134,4639.7166,76247.06678,,1.54657E-06
21:12:14:1:56:0.0000000,4337073.411,561503.6139,4654739.101,4544.175395,75885.9542,,1.51473E-06
21:12:14:1:56:30.0000000,4336913.905,561543.8491,4654625.173,4447.258842,75528.11438,,1.48242E-06
21:12:14:1:57:0.0000000,4336753.857,561582.9862,4654507.452,4348.382013,75174.69931,,1.44946E-06
21:12:14:1:57:30.0000000,4336590.878,561621.6891,4654387.621,4247.651433,74824.51495,,1.41588E-06
21:12:14:1:58:0.0000000,4336425.885,561659.8074,4654264.951,4144.601792,74476.88541,,1.38153E-06
21:12:14:1:58:30.0000000,4336259.077,561697.7426,4654139.194,4039.381465,74133.42052,,1.34646E-06
21:12:14:1:59:0.0000000,4336090.958,561734.2522,4654012.769,3933.569738,73793.05211,,1.31119E-06
21:12:14:1:59:30.0000000,4335920.363,561769.9325,4653882.106,3824.624553,73456.13108,,1.27487E-06
21:12:14:2:0:0.0000000,4335748.089,561804.7839,4653749.441,3713.783014,73123.09229,,1.23793E-06
21:12:14:2:0:30.0000000,4335574.458,561838.6793,4653615.114,3601.843345,72793.36351,,1.20061E-06
21:12:14:2:1:0.0000000,4335399.66,561872.112,4653477.071,3487.664514,72466.72933,,1.16255E-06
21:12:14:2:1:30.0000000,4335222.088,561904.6461,4653338.399,3371.868186,72143.87843,,1.12396E-06
21:12:14:2:2:0.0000000,4335043.272,561936.204,4653196.535,3254.063339,71824.48082,,1.08469E-06
